parameters,Time (Asia/Calcutta),Value,Quality,Quality_Text,UOM
BGOIL well2Motor Temperature 1,05-04-2026 17:30,118.7,192,Good,°C
BGOIL well2Motor Temperature 1,06-04-2026 05:30,144.3,192,Good,°C
BGOIL well2Motor Temperature 1,06-04-2026 17:30,144.5,192,Good,°C
BGOIL well2Motor Temperature 1,07-04-2026 05:30,151,192,Good,°C
BGOIL well2Motor Temperature 1,07-04-2026 17:30,142.9,192,Good,°C
BGOIL well2Motor Temperature 1,08-04-2026 05:30,119.7,192,Good,°C
BGOIL well2Motor Temperature 1,08-04-2026 17:30,144.8,192,Good,°C
BGOIL well2Motor Temperature 1,09-04-2026 05:30,140.4,192,Good,°C
BGOIL well2Motor Temperature 1,09-04-2026 17:30,142.4,192,Good,°C
BGOIL well2Motor Temperature 1,10-04-2026 05:30,125.3,192,Good,°C
BGOIL well2Motor Temperature 1,10-04-2026 17:30,152.4,192,Good,°C
BGOIL well2Motor Temperature 1,11-04-2026 05:30,124.1,192,Good,°C
BGOIL well2Motor Temperature 1,11-04-2026 17:30,141,192,Good,°C
BGOIL well2Motor Temperature 1,12-04-2026 05:30,145.1,192,Good,°C
BGOIL well2Motor Temperature 1,12-04-2026 17:30,146.1,192,Good,°C
BGOIL well2VFD Output Frequency,05-04-2026 17:30,44,192,Good,Hz
BGOIL well2VFD Output Frequency,06-04-2026 05:30,44,192,Good,Hz
BGOIL well2VFD Output Frequency,06-04-2026 17:30,50,192,Good,Hz
BGOIL well2VFD Output Frequency,07-04-2026 05:30,48,192,Good,Hz
BGOIL well2VFD Output Frequency,07-04-2026 17:30,48,192,Good,Hz
BGOIL well2VFD Output Frequency,08-04-2026 05:30,46,192,Good,Hz
BGOIL well2VFD Output Frequency,08-04-2026 17:30,46,192,Good,Hz
BGOIL well2VFD Output Frequency,09-04-2026 05:30,46,192,Good,Hz
BGOIL well2VFD Output Frequency,09-04-2026 17:30,46,192,Good,Hz
BGOIL well2VFD Output Frequency,10-04-2026 05:30,46,192,Good,Hz
BGOIL well2VFD Output Frequency,10-04-2026 17:30,46,192,Good,Hz
BGOIL well2VFD Output Frequency,11-04-2026 05:30,39,192,Good,Hz
BGOIL well2VFD Output Frequency,11-04-2026 17:30,46,192,Good,Hz
BGOIL well2VFD Output Frequency,12-04-2026 05:30,51,192,Good,Hz
BGOIL well2VFD Output Frequency,12-04-2026 17:30,51,192,Good,Hz
BGOIL well2Pump Discharge Pressure,05-04-2026 17:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,06-04-2026 05:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,06-04-2026 17:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,07-04-2026 05:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,07-04-2026 17:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,08-04-2026 05:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,08-04-2026 17:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,09-04-2026 05:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,09-04-2026 17:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,10-04-2026 05:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,10-04-2026 17:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,11-04-2026 05:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,11-04-2026 17:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,12-04-2026 05:30,0,192,Good,psi
BGOIL well2Pump Discharge Pressure,12-04-2026 17:30,0,192,Good,psi
BGOIL well2Pump Intake Pressure,05-04-2026 17:30,983.5,192,Good,psi
BGOIL well2Pump Intake Pressure,06-04-2026 05:30,987.9,192,Good,psi
BGOIL well2Pump Intake Pressure,06-04-2026 17:30,992.2,192,Good,psi
BGOIL well2Pump Intake Pressure,07-04-2026 05:30,1006.7,192,Good,psi
BGOIL well2Pump Intake Pressure,07-04-2026 17:30,1006.7,192,Good,psi
BGOIL well2Pump Intake Pressure,08-04-2026 05:30,990.8,192,Good,psi
BGOIL well2Pump Intake Pressure,08-04-2026 17:30,999.5,192,Good,psi
BGOIL well2Pump Intake Pressure,09-04-2026 05:30,1001,192,Good,psi
BGOIL well2Pump Intake Pressure,09-04-2026 17:30,1009.7,192,Good,psi
BGOIL well2Pump Intake Pressure,10-04-2026 05:30,1011.1,192,Good,psi
BGOIL well2Pump Intake Pressure,10-04-2026 17:30,1019.8,192,Good,psi
BGOIL well2Pump Intake Pressure,11-04-2026 05:30,1019.8,192,Good,psi
BGOIL well2Pump Intake Pressure,11-04-2026 17:30,1024.2,192,Good,psi
BGOIL well2Pump Intake Pressure,12-04-2026 05:30,1038.7,192,Good,psi
BGOIL well2Pump Intake Pressure,12-04-2026 17:30,1030,192,Good,psi
BGOIL well2Motor load,05-04-2026 17:30,43.6,192,Good,%
BGOIL well2Motor load,06-04-2026 05:30,43,192,Good,%
BGOIL well2Motor load,06-04-2026 17:30,44.4,192,Good,%
BGOIL well2Motor load,07-04-2026 05:30,43.6,192,Good,%
BGOIL well2Motor load,07-04-2026 17:30,43.8,192,Good,%
BGOIL well2Motor load,08-04-2026 05:30,43.6,192,Good,%
BGOIL well2Motor load,08-04-2026 17:30,43.3,192,Good,%
BGOIL well2Motor load,09-04-2026 05:30,43.3,192,Good,%
BGOIL well2Motor load,09-04-2026 17:30,43,192,Good,%
BGOIL well2Motor load,10-04-2026 05:30,43.8,192,Good,%
BGOIL well2Motor load,10-04-2026 17:30,43.3,192,Good,%
BGOIL well2Motor load,11-04-2026 05:30,59.4,192,Good,%
BGOIL well2Motor load,11-04-2026 17:30,43.6,192,Good,%
BGOIL well2Motor load,12-04-2026 05:30,44.1,192,Good,%
BGOIL well2Motor load,12-04-2026 17:30,44.1,192,Good,%
BGOIL well2Motor Current (Average),05-04-2026 17:30,15.7,192,Good,amp
BGOIL well2Motor Current (Average),06-04-2026 05:30,15.533334,192,Good,amp
BGOIL well2Motor Current (Average),06-04-2026 17:30,16.033333,192,Good,amp
BGOIL well2Motor Current (Average),07-04-2026 05:30,15.766666,192,Good,amp
BGOIL well2Motor Current (Average),07-04-2026 17:30,15.8,192,Good,amp
BGOIL well2Motor Current (Average),08-04-2026 05:30,15.733334,192,Good,amp
BGOIL well2Motor Current (Average),08-04-2026 17:30,15.666667,192,Good,amp
BGOIL well2Motor Current (Average),09-04-2026 05:30,15.633333,192,Good,amp
BGOIL well2Motor Current (Average),09-04-2026 17:30,15.533334,192,Good,amp
BGOIL well2Motor Current (Average),10-04-2026 05:30,15.733334,192,Good,amp
BGOIL well2Motor Current (Average),10-04-2026 17:30,15.6,192,Good,amp
BGOIL well2Motor Current (Average),11-04-2026 05:30,21.433332,192,Good,amp
BGOIL well2Motor Current (Average),11-04-2026 17:30,15.666667,192,Good,amp
BGOIL well2Motor Current (Average),12-04-2026 05:30,15.833333,192,Good,amp
BGOIL well2Motor Current (Average),12-04-2026 17:30,15.833333,192,Good,amp
BGOIL well2Pump Intake Temperature,05-04-2026 17:30,103.4,192,Good,°C
BGOIL well2Pump Intake Temperature,06-04-2026 05:30,107.1,192,Good,°C
BGOIL well2Pump Intake Temperature,06-04-2026 17:30,105.2,192,Good,°C
BGOIL well2Pump Intake Temperature,07-04-2026 05:30,106.5,192,Good,°C
BGOIL well2Pump Intake Temperature,07-04-2026 17:30,104.6,192,Good,°C
BGOIL well2Pump Intake Temperature,08-04-2026 05:30,103,192,Good,°C
BGOIL well2Pump Intake Temperature,08-04-2026 17:30,114.5,192,Good,°C
BGOIL well2Pump Intake Temperature,09-04-2026 05:30,104.8,192,Good,°C
BGOIL well2Pump Intake Temperature,09-04-2026 17:30,105.1,192,Good,°C
BGOIL well2Pump Intake Temperature,10-04-2026 05:30,104.6,192,Good,°C
BGOIL well2Pump Intake Temperature,10-04-2026 17:30,104.6,192,Good,°C
BGOIL well2Pump Intake Temperature,11-04-2026 05:30,103.7,192,Good,°C
BGOIL well2Pump Intake Temperature,11-04-2026 17:30,104.3,192,Good,°C
BGOIL well2Pump Intake Temperature,12-04-2026 05:30,109.4,192,Good,°C
BGOIL well2Pump Intake Temperature,12-04-2026 17:30,104.4,192,Good,°C
BGOIL well2Vibration X,05-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration X,06-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration X,06-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration X,07-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration X,07-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration X,08-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration X,08-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration X,09-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration X,09-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration X,10-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration X,10-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration X,11-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration X,11-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration X,12-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration X,12-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration XY,05-04-2026 17:30,0.2,192,Good,m/s²
BGOIL well2Vibration XY,06-04-2026 05:30,0.2,192,Good,m/s²
BGOIL well2Vibration XY,06-04-2026 17:30,0.3,192,Good,m/s²
BGOIL well2Vibration XY,07-04-2026 05:30,0.4,192,Good,m/s²
BGOIL well2Vibration XY,07-04-2026 17:30,0.5,192,Good,m/s²
BGOIL well2Vibration XY,08-04-2026 05:30,0.1,192,Good,m/s²
BGOIL well2Vibration XY,08-04-2026 17:30,0.1,192,Good,m/s²
BGOIL well2Vibration XY,09-04-2026 05:30,0.4,192,Good,m/s²
BGOIL well2Vibration XY,09-04-2026 17:30,0.2,192,Good,m/s²
BGOIL well2Vibration XY,10-04-2026 05:30,0.4,192,Good,m/s²
BGOIL well2Vibration XY,10-04-2026 17:30,0.3,192,Good,m/s²
BGOIL well2Vibration XY,11-04-2026 05:30,0.2,192,Good,m/s²
BGOIL well2Vibration XY,11-04-2026 17:30,0.4,192,Good,m/s²
BGOIL well2Vibration XY,12-04-2026 05:30,0.4,192,Good,m/s²
BGOIL well2Vibration XY,12-04-2026 17:30,0.3,192,Good,m/s²
BGOIL well2Vibration Z,05-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration Z,06-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration Z,06-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration Z,07-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration Z,07-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration Z,08-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration Z,08-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration Z,09-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration Z,09-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration Z,10-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration Z,10-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration Z,11-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration Z,11-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Vibration Z,12-04-2026 05:30,0,192,Good,m/s²
BGOIL well2Vibration Z,12-04-2026 17:30,0,192,Good,m/s²
BGOIL well2Motor Current A,05-04-2026 17:30,15.7,192,Good,amp
BGOIL well2Motor Current A,06-04-2026 05:30,15.6,192,Good,amp
BGOIL well2Motor Current A,06-04-2026 17:30,16,192,Good,amp
BGOIL well2Motor Current A,07-04-2026 05:30,15.8,192,Good,amp
BGOIL well2Motor Current A,07-04-2026 17:30,15.9,192,Good,amp
BGOIL well2Motor Current A,08-04-2026 05:30,15.8,192,Good,amp
BGOIL well2Motor Current A,08-04-2026 17:30,15.7,192,Good,amp
BGOIL well2Motor Current A,09-04-2026 05:30,15.7,192,Good,amp
BGOIL well2Motor Current A,09-04-2026 17:30,15.6,192,Good,amp
BGOIL well2Motor Current A,10-04-2026 05:30,15.8,192,Good,amp
BGOIL well2Motor Current A,10-04-2026 17:30,15.6,192,Good,amp
BGOIL well2Motor Current A,11-04-2026 05:30,21.3,192,Good,amp
BGOIL well2Motor Current A,11-04-2026 17:30,15.7,192,Good,amp
BGOIL well2Motor Current A,12-04-2026 05:30,15.9,192,Good,amp
BGOIL well2Motor Current A,12-04-2026 17:30,15.9,192,Good,amp
BGOIL well2Motor Current B,05-04-2026 17:30,15.9,192,Good,amp
BGOIL well2Motor Current B,06-04-2026 05:30,15.7,192,Good,amp
BGOIL well2Motor Current B,06-04-2026 17:30,16.3,192,Good,amp
BGOIL well2Motor Current B,07-04-2026 05:30,16,192,Good,amp
BGOIL well2Motor Current B,07-04-2026 17:30,16,192,Good,amp
BGOIL well2Motor Current B,08-04-2026 05:30,15.9,192,Good,amp
BGOIL well2Motor Current B,08-04-2026 17:30,15.8,192,Good,amp
BGOIL well2Motor Current B,09-04-2026 05:30,15.8,192,Good,amp
BGOIL well2Motor Current B,09-04-2026 17:30,15.7,192,Good,amp
BGOIL well2Motor Current B,10-04-2026 05:30,15.9,192,Good,amp
BGOIL well2Motor Current B,10-04-2026 17:30,15.8,192,Good,amp
BGOIL well2Motor Current B,11-04-2026 05:30,21.6,192,Good,amp
BGOIL well2Motor Current B,11-04-2026 17:30,15.9,192,Good,amp
BGOIL well2Motor Current B,12-04-2026 05:30,16,192,Good,amp
BGOIL well2Motor Current B,12-04-2026 17:30,16,192,Good,amp
BGOIL well2Motor Current C,05-04-2026 17:30,15.5,192,Good,amp
BGOIL well2Motor Current C,06-04-2026 05:30,15.3,192,Good,amp
BGOIL well2Motor Current C,06-04-2026 17:30,15.8,192,Good,amp
BGOIL well2Motor Current C,07-04-2026 05:30,15.5,192,Good,amp
BGOIL well2Motor Current C,07-04-2026 17:30,15.5,192,Good,amp
BGOIL well2Motor Current C,08-04-2026 05:30,15.5,192,Good,amp
BGOIL well2Motor Current C,08-04-2026 17:30,15.5,192,Good,amp
BGOIL well2Motor Current C,09-04-2026 05:30,15.4,192,Good,amp
BGOIL well2Motor Current C,09-04-2026 17:30,15.3,192,Good,amp
BGOIL well2Motor Current C,10-04-2026 05:30,15.5,192,Good,amp
BGOIL well2Motor Current C,10-04-2026 17:30,15.4,192,Good,amp
BGOIL well2Motor Current C,11-04-2026 05:30,21.4,192,Good,amp
BGOIL well2Motor Current C,11-04-2026 17:30,15.4,192,Good,amp
BGOIL well2Motor Current C,12-04-2026 05:30,15.6,192,Good,amp
BGOIL well2Motor Current C,12-04-2026 17:30,15.6,192,Good,amp
